Time Pressure Temperature AccX AccY AccZ GyroX GyroY GyroZ
44334 97397.45 27.61 -0.37 -1.20 -0.33 -21.27 -50.16 -5.09
44492 97399.91 27.62 -0.46 -0.55 0.02 -60.02 -64.00 53.10
44649 97393.11 27.63 -0.41 -0.25 -0.26 -48.14 -54.62 -25.58
44806 97396.52 27.64 -0.90 -0.78 -0.55 4.42 -35.09 -33.34
44963 97395.93 27.66 -0.34 -0.79 -0.30 -12.66 -22.39 -9.37
45118 97396.36 27.67 -0.39 -0.47 -0.24 -6.70 0.01 -19.29
45274 97397.66 27.68 -0.30 -0.78 -0.31 9.41 53.04 2.22
45431 97398.13 27.69 -0.49 -0.70 -0.66 -4.90 36.56 16.63
45587 97400.58 27.71 -0.24 -0.80 -0.36 13.09 64.00 17.60
45744 97398.38 27.71 -0.57 -0.94 -0.56 4.05 53.04 -29.06
45902 97404.11 27.73 0.02 -0.77 -0.69 49.71 4.17 -40.34
46059 97403.30 27.74 0.10 -0.78 -0.00 10.35 6.72 28.94
46215 97401.58 27.76 -0.20 -0.66 -0.33 12.44 -7.99 23.04
46370 97397.24 27.77 -0.14 -1.19 -0.52 42.88 47.20 10.71
46527 97397.59 27.78 -0.10 -0.68 -0.36 29.30 -15.96 23.10
46684 97400.86 27.79 -0.32 -0.72 0.16 -31.63 31.61 -39.74
46840 97395.34 27.81 -0.25 -1.03 -0.58 -12.28 -40.88 -30.25
46996 97404.94 27.82 -0.00 -1.39 -0.56 61.11 3.02 -2.71
47155 97405.06 27.83 0.01 -0.56 0.16 10.04 15.26 64.00
47311 97396.45 27.84 -0.45 -0.70 -0.42 -37.66 -14.40 -14.32
47468 97400.17 27.86 -0.15 -1.18 -0.53 59.89 46.59 -33.10
47624 97401.20 27.86 -0.14 -0.90 0.04 -17.39 29.92 10.44
47780 97404.20 27.87 -0.29 -0.40 -0.21 -41.21 6.32 -37.72
47936 97401.53 27.89 0.04 -1.13 -0.57 29.31 -64.00 -28.35
48091 97405.03 27.90 0.07 -1.18 -0.38 11.37 -2.40 38.77
48248 97405.15 27.91 -0.37 -0.53 -0.11 -24.48 24.05 5.89
48404 97405.25 27.92 -0.39 -1.13 -0.32 7.42 -13.75 -28.49
48562 97403.68 27.93 0.27 -1.31 -0.40 40.83 23.91 25.26
48718 97402.83 27.95 -0.10 -0.50 0.14 -47.21 30.92 30.08
48875 97406.33 27.96 -0.21 -0.66 -0.56 -12.08 23.48 -26.89
49032 97404.84 27.97 -0.08 -1.36 -0.66 47.22 14.43 -13.08
49188 97404.98 27.98 0.04 -0.79 -0.01 4.82 15.22 12.67
49344 97405.07 27.99 -0.03 -0.65 -0.40 -2.51 -11.07 -0.78
49500 97407.06 28.01 -0.21 -1.30 -0.55 24.80 12.06 -13.48
49657 97403.17 28.02 0.02 -0.98 -0.26 -2.61 -48.39 -3.54
49813 97408.08 28.03 -0.09 -0.75 0.01 -52.78 26.02 -1.89
49972 97408.25 28.04 -0.14 -1.04 -0.61 10.63 -14.07 -32.37
50127 97406.02 28.05 0.13 -1.37 -0.26 33.71 -8.22 6.03
50283 97406.63 28.07 0.03 -0.54 -0.54 5.31 -7.01 26.12
50440 97412.77 28.08 -0.30 -0.82 -0.11 -4.58 -15.00 3.55
50595 97408.72 28.09 -0.21 -1.32 -0.46 4.97 4.59 -22.30
50751 97411.98 28.11 0.15 -0.98 -0.39 9.34 16.26 14.18
50907 97413.64 28.12 -0.24 -0.72 0.11 -53.95 32.85 8.87
51064 97415.16 28.14 -0.24 -1.01 -0.57 10.94 -11.39 -20.67
51220 97411.36 28.15 -0.18 -1.29 -0.50 35.57 -63.44 -30.65
51378 97411.08 28.15 0.07 -0.50 0.07 -15.39 -30.47 -0.45
51533 97417.67 28.17 -0.00 -0.71 -0.34 5.26 0.02 0.57
51690 97416.27 28.18 0.10 -1.39 -0.58 13.62 50.46 23.55
51846 97417.28 28.20 0.07 -0.71 -0.06 -49.04 52.16 37.87
52001 97419.06 28.20 -0.31 -0.71 -0.36 -4.55 32.38 5.37
52158 97418.98 28.21 -0.27 -1.04 -0.36 6.42 -64.00 -60.68
52314 97418.47 28.23 -0.03 -0.89 -0.45 18.54 -60.14 -4.14
52469 97414.94 28.24 0.02 -0.59 -0.17 3.09 41.28 25.37
52626 97421.59 28.26 -0.28 -1.05 -0.55 37.34 57.63 23.58
52784 97420.19 28.27 -0.26 -1.32 -0.26 -13.47 37.22 -3.07
52940 97416.47 28.28 -0.03 -0.56 -0.19 -23.95 40.22 3.76
53096 97416.83 28.29 -0.37 -1.12 -0.33 0.15 -24.72 -20.66
53252 97416.40 28.30 -0.15 -1.19 -0.49 23.86 -64.00 -37.48
53409 97418.91 28.31 -0.05 -0.69 -0.26 23.42 -23.64 -5.40
53564 97418.94 28.33 -0.03 -0.78 -0.24 9.03 -0.94 19.87
53721 97419.02 28.34 -0.30 -1.48 -0.31 16.64 64.00 16.58
53876 97419.05 28.36 0.13 -0.61 0.05 -27.46 30.32 4.11
54033 97417.91 28.37 -0.28 -0.88 -0.38 -10.55 -3.82 -4.66
54190 97416.67 28.38 -0.32 -1.39 -0.31 28.42 0.18 -13.95
54347 97417.97 28.40 0.05 -0.60 -0.29 -8.71 -29.58 -7.24
54503 97421.22 28.41 -0.04 -0.80 -0.40 18.15 -46.81 8.07
54658 97418.86 28.43 -0.30 -1.33 -0.21 -0.35 4.41 -33.62
54815 97420.84 28.44 0.09 -0.89 -0.37 -42.12 -22.78 -20.83
54972 97420.14 28.45 -0.07 -0.81 -0.10 -18.31 37.62 34.14
55127 97418.45 28.47 -0.44 -1.16 -0.24 16.96 -9.61 -10.45
55283 97415.25 28.47 -0.23 -1.33 -0.61 0.72 -37.91 -19.98
55442 97422.45 28.49 0.02 -0.65 -0.18 4.53 -21.79 10.50
55597 97419.84 28.50 -0.18 -0.79 -0.36 0.48 -5.12 -3.48
55753 97423.84 28.51 -0.11 -1.21 -0.33 2.07 64.00 -3.04
55909 97421.20 28.53 0.13 -1.01 -0.17 -41.71 11.70 16.65
56066 97419.59 28.54 -0.29 -0.90 -0.42 -7.09 13.87 14.16
56221 97418.22 28.54 -0.23 -1.16 -0.30 26.73 9.59 -17.14
56378 97420.45 28.56 -0.32 -1.27 -0.43 -0.40 -11.54 -6.15
56533 97420.11 28.57 0.03 -0.54 -0.30 8.21 -6.15 1.01
56690 97420.53 28.58 -0.16 -1.05 -0.36 -1.48 -27.43 -0.71
56848 97419.89 28.60 -0.03 -1.04 -0.34 -24.17 10.46 -24.05
57004 97417.58 28.61 0.02 -0.72 -0.34 -15.79 18.77 3.16
57160 97421.44 28.62 -0.20 -1.05 -0.31 16.46 37.53 1.47
57317 97420.00 28.63 -0.14 -1.28 -0.29 -27.76 -49.24 -24.55
57473 97417.94 28.64 -0.03 -0.69 -0.57 4.80 -24.04 2.81
57630 97422.03 28.66 -0.20 -0.81 -0.37 17.80 -0.50 11.33
57785 97418.66 28.66 -0.14 -0.97 -0.36 2.74 12.56 4.10
57941 97420.29 28.68 0.04 -1.02 -0.60 -8.77 11.21 17.07
58098 97419.48 28.69 0.01 -0.68 -0.17 -11.83 44.33 18.55
58256 97419.88 28.70 -0.32 -1.00 -0.38 16.04 29.21 -4.57
58412 97419.49 28.72 -0.13 -1.10 -0.40 13.03 -60.33 -26.45
58568 97421.58 28.73 0.00 -0.80 -0.26 -4.77 -38.62 14.28
58724 97418.19 28.75 -0.26 -0.85 -0.26 -10.26 5.34 7.00
58880 97422.52 28.76 -0.15 -1.11 -0.62 22.10 49.54 18.66
59035 97421.84 28.77 -0.11 -0.94 -0.43 9.18 29.81 8.51
59191 97419.98 28.78 0.00 -0.60 -0.20 -30.33 38.74 -8.81
59348 97420.53 28.79 -0.27 -1.04 -0.25 2.29 13.70 -15.75
59504 97418.97 28.80 -0.23 -1.36 -0.59 -8.77 -59.76 -36.62
59662 97423.32 28.82 0.05 -0.74 -0.54 15.28 -38.85 3.22
59818 97421.25 28.83 -0.08 -0.78 -0.20 1.93 -32.25 6.01
59974 97423.36 28.84 -0.20 -1.00 -0.51 -1.37 46.56 10.27
60130 97422.95 28.85 0.16 -0.81 -0.51 -3.99 27.78 13.38
60286 97423.31 28.87 -0.06 -0.57 -0.28 -29.47 39.83 21.84
60442 97423.55 28.88 -0.33 -0.91 -0.54 5.53 -16.53 -13.19
60598 97423.89 28.89 -0.35 -1.32 -0.56 8.00 -49.07 -36.78
60755 97425.98 28.91 -0.09 -0.65 -0.56 11.58 -42.86 -33.60
60911 97423.08 28.91 0.04 -0.71 -0.28 -4.74 -25.63 -7.36
61069 97425.91 28.92 -0.07 -1.13 -0.64 3.27 23.56 22.17
61226 97424.68 28.94 -0.03 -0.88 -0.43 -27.36 -5.01 21.32
61382 97420.72 28.95 -0.24 -0.74 -0.38 15.90 64.00 40.17
61539 97420.30 28.96 -0.45 -1.03 -0.48 -0.69 -36.13 -37.14
61695 97419.28 28.97 0.08 -0.79 -0.66 -2.81 -64.00 -13.92
61851 97419.53 28.98 -0.15 -0.82 -0.34 33.31 -53.19 7.80
62007 97422.91 29.00 -0.16 -0.78 -0.34 7.36 27.54 -10.85
62163 97420.34 29.01 -0.01 -1.16 -0.60 -0.34 64.00 19.67
62321 97418.73 29.02 0.04 -0.69 -0.19 -30.81 38.56 18.24
62478 97418.34 29.04 -0.34 -0.82 -0.52 0.16 26.37 -10.69
62634 97415.04 29.05 -0.27 -1.17 -0.30 14.89 -63.48 -26.77
62790 97416.20 29.06 -0.05 -0.86 -0.69 2.85 -61.03 -16.59
62947 97417.80 29.08 -0.07 -0.82 -0.34 22.79 -2.79 0.99
63103 97418.13 29.09 -0.13 -1.03 -0.49 -13.42 23.26 0.73
63259 97421.73 29.11 0.06 -0.81 -0.63 -25.68 29.21 26.53
63415 97419.22 29.11 -0.14 -0.62 -0.43 -24.42 57.08 22.66
63570 97419.70 29.12 -0.29 -0.88 -0.57 21.20 6.34 -2.70
63728 97419.41 29.14 -0.22 -1.10 -0.27 37.65 -55.55 7.19
63885 97417.67 29.15 -0.18 -0.62 -0.44 14.10 -57.03 -28.13
64040 97421.77 29.17 0.04 -0.85 -0.26 11.46 -54.24 -11.53
64197 97420.86 29.18 -0.22 -1.05 -0.40 5.50 62.15 11.26
64353 97421.00 29.18 -0.05 -0.94 -0.79 -46.42 -20.71 0.95
64509 97419.24 29.20 -0.16 -0.48 -0.40 -9.30 52.34 15.26
64664 97419.66 29.21 -0.24 -0.85 -0.49 5.97 18.44 -17.53
64821 97422.13 29.22 -0.22 -1.25 -0.16 20.45 14.27 -23.45
64977 97423.19 29.23 0.05 -0.71 -0.62 -3.26 -31.81 -14.57
65136 97423.63 29.24 -0.08 -0.70 -0.31 -11.33 -48.19 -12.38
65293 97424.45 29.25 0.04 -0.85 -0.50 13.99 -38.58 10.38
65450 97422.45 29.26 -0.32 -1.29 -0.59 4.50 32.33 18.77
65605 97421.05 29.27 -0.22 -0.71 -0.38 -0.46 51.43 3.37
65761 97417.76 29.29 -0.13 -0.71 -0.34 5.81 39.99 7.64
65917 97420.08 29.30 -0.30 -1.15 -0.19 2.35 -9.06 -21.50
66072 97419.98 29.32 -0.14 -0.88 -0.54 13.47 -29.11 -4.45
66229 97418.59 29.32 -0.16 -0.61 -0.42 14.06 -26.59 -0.44
66385 97418.28 29.33 -0.12 -0.94 -0.22 -11.66 -36.16 8.44
66543 97420.75 29.35 -0.28 -1.07 -0.55 -17.27 29.86 15.47
66698 97419.34 29.36 -0.31 -0.81 -0.35 6.83 23.43 0.81
66855 97422.49 29.37 -0.25 -0.69 -0.41 -13.32 25.12 -17.51
67011 97422.53 29.38 -0.26 -1.12 -0.37 0.15 -15.26 -32.11
67167 97420.36 29.40 -0.43 -1.13 -0.63 20.86 -64.00 -31.71
67324 97421.02 29.41 -0.10 -0.52 -0.36 17.13 -39.93 -17.98
67479 97423.77 29.42 -0.09 -0.91 -0.47 -11.77 -39.17 -7.23
67635 97423.73 29.43 -0.06 -1.12 -0.45 3.45 53.31 26.67
67794 97423.25 29.44 -0.15 -0.75 -0.26 -4.78 38.44 38.36
67950 97424.11 29.45 -0.27 -0.63 -0.34 -0.75 64.00 -2.62
68106 97420.83 29.47 -0.29 -1.19 -0.36 13.36 -15.86 -21.12
68262 97420.00 29.48 -0.16 -0.88 -0.36 51.46 -64.00 21.53
68419 97419.38 29.48 -0.23 -0.72 -0.19 32.48 -21.28 23.71
68574 97421.79 29.50 -0.26 -0.85 -0.17 -23.71 9.86 7.35
68731 97420.13 29.52 -0.45 -1.26 -0.57 -12.19 64.00 11.79
68887 97422.30 29.52 -0.13 -0.68 -0.27 -4.16 58.45 -4.92
69042 97419.13 29.54 -0.32 -0.91 -0.32 -0.31 48.78 8.68
69201 97417.06 29.55 -0.33 -1.19 -0.47 16.22 -43.24 -13.00
69356 97414.22 29.56 -0.24 -1.07 -0.31 3.34 -58.67 6.26
69513 97418.56 29.57 -0.30 -0.96 -0.25 11.10 -7.99 19.05
69669 97414.09 29.57 -0.24 -0.75 -0.48 -13.21 -4.19 35.85
69825 97414.48 29.59 -0.46 -0.74 -0.29 -64.00 -10.18 35.83
69982 97412.34 29.60 -0.57 -0.38 -0.54 -64.00 -13.78 -5.08
70138 97412.69 29.61 -0.58 -0.50 -0.65 6.39 1.04 -5.59
70295 97408.69 29.62 -0.51 -0.61 -0.40 -9.50 -5.62 -25.87
70451 97412.03 29.64 -0.38 -0.46 -0.49 -30.96 -17.45 0.78
70609 97411.97 29.65 -0.46 -0.45 -0.63 19.52 20.65 16.25
70764 97412.11 29.66 -0.46 -0.46 -0.78 43.36 14.76 0.37
70921 97413.69 29.67 -0.00 -0.33 -0.53 50.78 64.00 7.89
71077 97417.25 29.68 -0.34 -0.55 -0.47 48.27 64.00 64.00
71233 97418.67 29.69 -0.99 -0.96 -1.07 -3.76 17.82 44.10
71390 97419.27 29.71 -0.59 -0.47 -0.99 30.74 -15.46 16.05
71546 97418.20 29.72 -0.33 -0.51 -0.52 64.00 32.16 11.83
71702 97416.64 29.73 -0.23 -0.77 -0.49 63.19 44.47 19.06
71857 97415.05 29.74 -0.27 -1.07 -0.38 0.63 54.70 16.54
72016 97418.29 29.75 -0.06 -0.51 -0.38 -30.21 54.02 14.61
72171 97416.14 29.76 -0.30 -0.74 -0.74 9.11 29.80 58.23
72328 97415.88 29.77 -0.44 -0.74 -0.75 -6.84 -7.23 28.86
72484 97418.05 29.78 -0.10 -0.69 -0.82 23.87 31.48 17.62
72640 97418.05 29.79 0.12 -0.50 -0.54 50.32 59.64 22.46
72797 97412.52 29.80 -0.33 -0.69 -0.59 45.27 64.00 31.95
72954 97414.89 29.81 -0.19 -0.98 -0.63 -9.78 51.88 21.99
73110 97419.82 29.83 0.08 -0.78 -0.67 -13.16 15.57 8.60
73265 97417.74 29.84 -0.14 -0.84 -0.62 7.43 31.36 20.36
73423 97417.76 29.85 -0.19 -0.69 -0.57 -11.70 2.51 32.98
73580 97416.16 29.86 0.05 -0.52 -0.65 -47.48 22.57 -64.00
73736 97415.27 29.87 0.73 -0.55 -0.85 -34.37 36.81 3.38
