Time Pressure Temperature AccX AccY AccZ GyroX GyroY GyroZ
36362 97562.00 46.31 -0.54 -1.39 -0.66 -10.64 22.69 3.01
36518 97563.54 46.31 0.31 -0.77 -0.70 5.96 43.28 22.23
36674 97563.03 46.31 0.12 -0.70 -0.51 5.00 54.39 27.92
36830 97563.20 46.31 0.06 -0.93 -0.48 4.08 -8.83 -10.23
36985 97566.44 46.31 0.04 -0.84 -0.48 1.23 -8.63 -7.15
37141 97564.73 46.31 0.11 -0.80 -0.46 0.27 -3.02 -1.89
37297 97565.44 46.31 0.02 -0.77 -0.52 4.33 36.43 18.19
37453 97564.77 46.31 0.08 -0.90 -0.55 2.25 9.86 0.54
37612 97564.98 46.32 0.05 -0.87 -0.48 -2.01 5.56 0.62
37768 97564.14 46.32 0.09 -0.85 -0.52 -2.08 -1.65 -1.66
37924 97565.73 46.32 0.08 -0.85 -0.52 -2.46 3.44 -0.25
38079 97568.38 46.32 0.01 -0.83 -0.57 3.04 7.78 0.36
38236 97564.93 46.32 0.14 -0.86 -0.50 0.46 0.63 -0.52
38391 97566.72 46.33 0.06 -0.84 -0.53 0.75 2.31 0.46
38548 97565.52 46.33 0.07 -0.85 -0.52 2.65 3.26 2.52
38704 97563.30 46.33 0.05 -0.84 -0.55 1.43 3.06 -0.46
38860 97565.06 46.33 0.09 -0.85 -0.52 2.08 1.56 -1.80
39016 97562.84 46.33 0.08 -0.84 -0.54 1.58 2.60 0.80
39173 97564.27 46.33 0.06 -0.84 -0.53 1.41 1.97 -1.00
39328 97565.64 46.33 0.07 -0.84 -0.53 1.52 2.13 -0.99
39484 97564.95 46.33 0.07 -0.85 -0.53 1.47 2.40 -0.10
39641 97564.13 46.33 0.06 -0.84 -0.53 1.55 2.49 -0.58
39797 97563.59 46.33 0.07 -0.85 -0.53 1.62 2.25 -0.29
39952 97564.47 46.33 0.07 -0.85 -0.52 1.48 2.47 -0.41
40107 97564.35 46.33 0.07 -0.85 -0.52 1.39 2.27 -0.49
40263 97568.11 46.33 0.07 -0.85 -0.52 1.53 1.98 -0.23
40419 97566.86 46.34 0.07 -0.85 -0.52 1.58 2.37 -0.69
40577 97565.17 46.34 0.07 -0.85 -0.52 1.30 2.28 -0.49
40733 97565.34 46.34 0.07 -0.85 -0.52 1.40 2.39 -0.42
40889 97565.56 46.34 0.07 -0.85 -0.52 1.17 2.27 -0.57
41046 97566.42 46.34 0.07 -0.85 -0.52 1.29 2.56 -0.53
41201 97562.44 46.35 0.07 -0.85 -0.52 1.35 2.40 -0.57
41357 97565.02 46.35 0.07 -0.85 -0.52 1.28 2.15 -0.27
